,time,f,f2
405,4.05,0.01,-0.14370943919121437
406,4.0600000000000005,0.009000000000000001,-0.142057771530759
407,4.07,0.006,-0.1403824836961732
408,4.08,0.006999999999999999,-0.13868385652179302
409,4.09,-0.006,-0.13696217446037776
410,4.1,-0.023,-0.13521772553560613
411,4.11,-0.019,-0.13345080129402834
412,4.12,-0.016,-0.13166169675647854
413,4.13,-0.015,-0.1298507103689581
414,4.14,-0.006999999999999999,-0.1280181439529943
415,4.15,-0.002,-0.12616430265548578
416,4.16,0.003,-0.12428949489803938
417,4.17,0.003,-0.12239403232581125
418,4.18,0.0,-0.12047822975585246
419,4.19,-0.006999999999999999,-0.118542405124978
420,4.2,-0.009000000000000001,-0.11658687943715798
421,4.21,0.0,-0.11461197671044365
422,4.22,-0.009000000000000001,-0.11261802392343803
423,4.23,-0.017,-0.11060535096131635
424,4.24,-0.021,-0.10857429056140626
425,4.25,-0.018000000000000002,-0.1065251782583391
426,4.26,-0.006999999999999999,-0.10445835232877458
427,4.2700000000000005,-0.008,-0.10237415373571665
428,4.28,-0.003,-0.10027292607241928
429,4.29,0.006999999999999999,-0.09815501550589958
430,4.3,0.005,-0.09602077072006437
431,4.3100000000000005,0.005,-0.09387054285845536
432,4.32,0.005,-0.0917046854666282
433,4.33,0.005,-0.08952355443417287
434,4.34,0.006,-0.08732750793637845
435,4.3500000000000005,0.002,-0.08511690637556382
436,4.36,0.003,-0.08289211232206933
437,4.37,-0.003,-0.08065349045493184
438,4.38,-0.011000000000000001,-0.07840140750224328
439,4.39,-0.003,-0.07613623218120574
440,4.4,-0.006,-0.07385833513789355
441,4.41,-0.02,-0.0715680888867303
442,4.42,-0.017,-0.06926586774969158
443,4.43,-0.005,-0.06695204779523942
444,4.44,0.003,-0.06462700677700597
445,4.45,0.006,-0.06229112407222667
446,4.46,0.006999999999999999,-0.05994478061994014
447,4.47,0.013000000000000001,-0.05758835885896014
448,4.48,0.015,-0.05522224266563125
449,4.49,0.008,-0.05284681729137889
450,4.5,0.0,-0.0504624693000608
451,4.51,-0.013999999999999999,-0.04806958650513294
452,4.5200000000000005,-0.013000000000000001,-0.04566855790663879
453,4.53,-0.002,-0.043259773628028575
454,4.54,-0.001,-0.040843624852826416
455,4.55,0.002,-0.03842050376114725
456,4.5600000000000005,0.003,-0.035990803466075194
457,4.57,0.003,-0.03355491794992149
458,4.58,-0.002,-0.031113242000357894
459,4.59,-0.012,-0.028666171146449374
460,4.6000000000000005,-0.008,-0.026214101594586925
461,4.61,-0.013999999999999999,-0.023757430164334545
462,4.62,-0.016,-0.021296554224202627
463,4.63,-0.006999999999999999,-0.018831871627349756
464,4.64,-0.004,-0.016363780647234316
465,4.65,0.0,-0.01389267991321641
466,4.66,-0.005,-0.011418968346125992
467,4.67,-0.006999999999999999,-0.00894304509380503
468,4.68,0.003,-0.006465309466633484
469,4.69,-0.001,-0.00398616087305248
470,4.7,-0.003,-0.001505998755090332
471,4.71,-0.003,0.0009747774760944795
472,4.72,-0.006999999999999999,0.003455768504647516
473,4.73,0.005,0.005936575174413761
474,4.74,0.008,0.008416798553287641
475,4.75,0.006,0.0108960399975096
476,4.76,0.006999999999999999,0.013373901215895547
477,4.7700000000000005,-0.009000000000000001,0.015849984333987988
478,4.78,-0.012,0.01832389195812323
479,4.79,-0.002,0.02079522723940014
480,4.8,-0.006,0.02326359393754579
481,4.8100000000000005,-0.005,0.025728596484660693
482,4.82,-0.009000000000000001,0.02818984004883851
483,4.83,-0.011000000000000001,0.030646930597649894
484,4.84,-0.001,0.033099474961479636
485,4.8500000000000005,-0.002,0.03554708089670606
486,4.86,-0.005,0.03798935714871377
487,4.87,-0.005,0.04042591351473163
488,4.88,-0.003,0.04285636090648171
489,4.89,0.004,0.04528031141263278
490,4.9,0.001,0.04769737836104976
491,4.91,0.006,0.05010717638082324
492,4.92,0.006,0.052509321464075394
493,4.93,-0.005,0.0549034310275312
494,4.94,0.002,0.05728912397384239
495,4.95,-0.002,0.05966602075265715
496,4.96,-0.006999999999999999,0.06203374342142626
497,4.97,-0.009000000000000001,0.06439191570593372
498,4.98,-0.009000000000000001,0.06674016306054498
499,4.99,0.001,0.06907811272816056
500,5.0,-0.002,0.07140539379986904
501,5.01,0.0,0.07372163727428488
502,5.0200000000000005,0.006,0.07602647611656949
503,5.03,0.0,0.07831954531711727
504,5.04,-0.002,0.0806004819499046
505,5.05,-0.008,0.08286892523048868
506,5.0600000000000005,-0.009000000000000001,0.08512451657364739
507,5.07,-0.002,0.0873668996506541
508,5.08,-0.002,0.08959572044617393
509,5.09,0.002,0.0918106273147768
510,5.1000000000000005,0.001,0.09401127103705414
511,5.11,-0.006999999999999999,0.09619730487533407
512,5.12,-0.009000000000000001,0.09836838462898556
513,5.13,-0.017,0.10052416868929938
514,5.14,-0.018000000000000002,0.10266431809394311
515,5.15,-0.018000000000000002,0.1047884965809765
516,5.16,-0.017,0.10689637064242191
517,5.17,-0.01,0.10898760957737885
518,5.18,-0.009000000000000001,0.11106188554467616
519,5.19,-0.002,0.11311887361505368
520,5.2,0.009000000000000001,0.11515825182286399
521,5.21,0.011000000000000001,0.11717970121728533
522,5.22,0.002,0.11918290591304205
523,5.23,-0.001,0.12116755314061696
524,5.24,0.008,0.12313333329595666
525,5.25,0.013000000000000001,0.125079939989655
526,5.26,0.01,0.12700707009560913
527,5.2700000000000005,0.005,0.12891442379914309
528,5.28,-0.004,0.13080170464458707
529,5.29,-0.009000000000000001,0.13266861958230736
530,5.3,-0.011000000000000001,0.1345148790151799
531,5.3100000000000005,-0.015,0.13634019684449838
532,5.32,-0.016,0.1381442905153122
533,5.33,-0.013999999999999999,0.13992688106118234
534,5.34,-0.005,0.1416876931483561
535,5.3500000000000005,0.005,0.14342645511934438
536,5.36,0.003,0.14514289903590258
537,5.37,-0.003,0.14683676072140397
538,5.38,0.0,0.1485077798025996
539,5.39,0.008,0.15015569975075885
540,5.4,0.012,0.15178026792218374
541,5.41,0.005,0.15338123559809191
542,5.42,0.01,0.15495835802385938
543,5.43,0.012,0.15651139444761822
544,5.44,-0.003,0.15804010815820546
545,5.45,-0.009000000000000001,0.15954426652245235
546,5.46,-0.012,0.161023641021813
547,5.47,-0.013999999999999999,0.16247800728832273
548,5.48,-0.018000000000000002,0.16390714513988333
549,5.49,-0.019,0.16531083861486806
550,5.5,-0.013000000000000001,0.1666888760060431
551,5.51,-0.013000000000000001,0.16804104989379476
552,5.5200000000000005,-0.015,0.16936715717866435
553,5.53,-0.011000000000000001,0.1706669991131818
554,5.54,-0.001,0.17194038133299194
555,5.55,0.006999999999999999,0.17318711388727076
